Date,Time,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Non-volatile PM10 (Hourly measured),Status,Volatile PM10 (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Non-volatile PM2.5 (Hourly measured),Status,Volatile PM2.5 (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
01/01/2020,01:00:00,133.9955,P ugm-3,69.24236,P ugm-3,274.69926,P ugm-3,19.575,P ugm-3 (FIDAS),No data,,No data,,16.156,P ugm-3 (Ref.eq),No data,,No data,,204.6,N deg,1.5,N ms-1,3.1,N degC
01/01/2020,02:00:00,109.16566,P ugm-3,62.41148,P ugm-3,229.79649,P ugm-3,26.475,P ugm-3 (FIDAS),No data,,No data,,22.052,P ugm-3 (Ref.eq),No data,,No data,,187.9,N deg,2,N ms-1,3.5,N degC
01/01/2020,03:00:00,87.6215,P ugm-3,63.00646,P ugm-3,197.35755,P ugm-3,22.05,P ugm-3 (FIDAS),No data,,No data,,17.925,N ugm-3 (Ref.eq),No data,,No data,,209.7,N deg,3,N ms-1,4.5,N degC
01/01/2020,04:00:00,85.59872,P ugm-3,65.06798,P ugm-3,196.31752,P ugm-3,16.8,N ugm-3 (FIDAS),No data,,No data,,14.033,P ugm-3 (Ref.eq),No data,,No data,,219.4,N deg,3.2,N ms-1,5.2,N degC
01/01/2020,05:00:00,71.15032,P ugm-3,64.14318,P ugm-3,173.23882,P ugm-3,16.375,P ugm-3 (FIDAS),No data,,No data,,13.326,P ugm-3 (Ref.eq),No data,,No data,,222.7,N deg,3.9,N ms-1,5.7,N degC
01/01/2020,06:00:00,47.39074,P ugm-3,50.94988,P ugm-3,123.61467,P ugm-3,15.175,P ugm-3 (FIDAS),No data,,No data,,12.594,P ugm-3 (Ref.eq),No data,,No data,,222.8,N deg,3.9,N ms-1,5.9,N degC
01/01/2020,07:00:00,39.1391,P ugm-3,51.27046,P ugm-3,111.28291,P ugm-3,14.675,P ugm-3 (FIDAS),No data,,No data,,12.5,P ugm-3 (Ref.eq),No data,,No data,,226.2,N deg,4.4,N ms-1,5.8,N degC
01/01/2020,08:00:00,32.04333,P ugm-3,53.83027,P ugm-3,102.9627,P ugm-3,14.775,P ugm-3 (FIDAS),No data,,No data,,12.123,P ugm-3 (Ref.eq),No data,,No data,,227.6,N deg,4.6,N ms-1,5.9,N degC
01/01/2020,09:00:00,6.99945,P ugm-3,25.86672,P ugm-3,36.59905,P ugm-3,12.175,P ugm-3 (FIDAS),No data,,No data,,9.458,P ugm-3 (Ref.eq),No data,,No data,,229.9,N deg,4.3,N ms-1,6.3,N degC
01/01/2020,10:00:00,4.14187,P ugm-3,23.0176,P ugm-3,29.36839,P ugm-3,13.5,N ugm-3 (FIDAS),No data,,No data,,10.59,P ugm-3 (Ref.eq),No data,,No data,,229.2,N deg,4.7,N ms-1,6.2,N degC
01/01/2020,11:00:00,2.69703,P ugm-3,11.56407,P ugm-3,15.69946,P ugm-3,15.95,P ugm-3 (FIDAS),No data,,No data,,12.524,P ugm-3 (Ref.eq),No data,,No data,,230.5,N deg,5.4,N ms-1,5.9,N degC
01/01/2020,12:00:00,3.69237,P ugm-3,9.98838,P ugm-3,15.64993,P ugm-3,16.925,P ugm-3 (FIDAS),No data,,No data,,13.797,P ugm-3 (Ref.eq),No data,,No data,,227.7,N deg,5.5,N ms-1,5.8,N degC
01/01/2020,13:00:00,3.27497,P ugm-3,10.57886,P ugm-3,15.60041,P ugm-3,18.025,P ugm-3 (FIDAS),No data,,No data,,15.094,N ugm-3 (Ref.eq),No data,,No data,,226.5,N deg,5.6,N ms-1,5.6,N degC
01/01/2020,14:00:00,5.20142,P ugm-3,14.9052,P ugm-3,22.8806,P ugm-3,22.375,P ugm-3 (FIDAS),No data,,No data,,17.335,P ugm-3 (Ref.eq),No data,,No data,,226.9,N deg,5.4,N ms-1,5.5,N degC
01/01/2020,15:00:00,6.22886,P ugm-3,18.43089,P ugm-3,27.98168,P ugm-3,22.4,N ugm-3 (FIDAS),No data,,No data,,17.335,P ugm-3 (Ref.eq),No data,,No data,,224.2,N deg,5.3,N ms-1,5.3,N degC
01/01/2020,16:00:00,9.11854,P ugm-3,20.0917,P ugm-3,34.07327,P ugm-3,23,N ugm-3 (FIDAS),No data,,No data,,17.783,P ugm-3 (Ref.eq),No data,,No data,,221.5,N deg,5.3,N ms-1,4.9,N degC
01/01/2020,17:00:00,4.30241,P ugm-3,14.40171,P ugm-3,20.99865,P ugm-3,22.075,P ugm-3 (FIDAS),No data,,No data,,18.137,P ugm-3 (Ref.eq),No data,,No data,,219.4,N deg,5.4,N ms-1,4.5,N degC
01/01/2020,18:00:00,3.21076,P ugm-3,13.64883,P ugm-3,18.57192,P ugm-3,21.775,P ugm-3 (FIDAS),No data,,No data,,17.406,P ugm-3 (Ref.eq),No data,,No data,,217.4,N deg,5.1,N ms-1,4.1,N degC
01/01/2020,19:00:00,3.33919,P ugm-3,11.2728,P ugm-3,16.39281,P ugm-3,18.3,N ugm-3 (FIDAS),No data,,No data,,14.67,P ugm-3 (Ref.eq),No data,,No data,,221,N deg,5.4,N ms-1,4.4,N degC
01/01/2020,20:00:00,3.85291,P ugm-3,13.75376,P ugm-3,19.66147,P ugm-3,21.05,P ugm-3 (FIDAS),No data,,No data,,17.359,N ugm-3 (Ref.eq),No data,,No data,,218.1,N deg,5.5,N ms-1,4.7,N degC
01/01/2020,21:00:00,4.62349,P ugm-3,16.93043,P ugm-3,24.01968,P ugm-3,23.45,P ugm-3 (FIDAS),No data,,No data,,18.939,P ugm-3 (Ref.eq),No data,,No data,,213.3,N deg,5.9,N ms-1,5,N degC
01/01/2020,22:00:00,7.12788,P ugm-3,23.09449,P ugm-3,34.02375,P ugm-3,23.525,P ugm-3 (FIDAS),No data,,No data,,19.033,P ugm-3 (Ref.eq),No data,,No data,,212.1,N deg,6.3,N ms-1,5.6,N degC
01/01/2020,23:00:00,3.62815,P ugm-3,16.82226,P ugm-3,22.38535,P ugm-3,22.625,P ugm-3 (FIDAS),No data,,No data,,18.137,P ugm-3 (Ref.eq),No data,,No data,,213.5,N deg,6.3,N ms-1,5.4,N degC
01/01/2020,24:00:00,4.71981,P ugm-3,18.46659,P ugm-3,25.70353,P ugm-3,21.575,P ugm-3 (FIDAS),No data,,No data,,17.028,P ugm-3 (Ref.eq),No data,,No data,,214,N deg,6.8,N ms-1,5.7,N degC
02/01/2020,01:00:00,4.54162,P ugm-3,17.66877,P ugm-3,24.63249,P ugm-3,15.725,P ugm-3 (FIDAS),No data,,No data,,11.132,N ugm-3 (Ref.eq),No data,,No data,,205.8,N deg,6.6,N ms-1,6.1,N degC
02/01/2020,02:00:00,0.98545,P ugm-3,1.79095,P ugm-3,3.30194,P ugm-3,10.55,P ugm-3 (FIDAS),No data,,No data,,6.156,P ugm-3 (Ref.eq),No data,,No data,,213.1,N deg,7.9,N ms-1,6.7,N degC
02/01/2020,03:00:00,0.64268,P ugm-3,0.9462,P ugm-3,1.93164,P ugm-3,11.85,P ugm-3 (FIDAS),No data,,No data,,6.085,P ugm-3 (Ref.eq),No data,,No data,,213.8,N deg,7.5,N ms-1,6.8,N degC
02/01/2020,04:00:00,0.48201,P ugm-3,0.79633,P ugm-3,1.5354,P ugm-3,12.1,N ugm-3 (FIDAS),No data,,No data,,6.132,N ugm-3 (Ref.eq),No data,,No data,,213.7,N deg,7.2,N ms-1,7.1,N degC
02/01/2020,05:00:00,0.77122,P ugm-3,1.19488,P ugm-3,2.3774,P ugm-3,14.525,P ugm-3 (FIDAS),No data,,No data,,7.005,P ugm-3 (Ref.eq),No data,,No data,,216.7,N deg,8.1,N ms-1,7.9,N degC
02/01/2020,06:00:00,1.86378,P ugm-3,3.48197,P ugm-3,6.33973,P ugm-3,16,N ugm-3 (FIDAS),No data,,No data,,7.382,P ugm-3 (Ref.eq),No data,,No data,,219.2,N deg,8.3,N ms-1,7.6,N degC
02/01/2020,07:00:00,2.18512,P ugm-3,4.67325,P ugm-3,8.02372,P ugm-3,16.85,P ugm-3 (FIDAS),No data,,No data,,7.571,P ugm-3 (Ref.eq),No data,,No data,,217.1,N deg,8.5,N ms-1,8,N degC
02/01/2020,08:00:00,1.44604,P ugm-3,5.60838,P ugm-3,7.8256,P ugm-3,12.625,P ugm-3 (FIDAS),No data,,No data,,5.778,P ugm-3 (Ref.eq),No data,,No data,,219,N deg,7.5,N ms-1,7.9,N degC
02/01/2020,09:00:00,1.57457,P ugm-3,5.758,P ugm-3,8.17231,P ugm-3,7.8,N ugm-3 (FIDAS),No data,,No data,,3.75,P ugm-3 (Ref.eq),No data,,No data,,218.8,N deg,6.9,N ms-1,7.8,N degC
02/01/2020,10:00:00,2.37792,P ugm-3,5.81396,P ugm-3,9.46007,P ugm-3,8.55,P ugm-3 (FIDAS),No data,,No data,,3.75,P ugm-3 (Ref.eq),No data,,No data,,219.4,N deg,7.5,N ms-1,8.1,N degC
02/01/2020,11:00:00,2.15299,P ugm-3,6.5551,P ugm-3,9.8563,P ugm-3,13.075,P ugm-3 (FIDAS),No data,,No data,,5.33,P ugm-3 (Ref.eq),No data,,No data,,224.3,N deg,8.5,N ms-1,8.3,N degC
